Story ID,Prediction,Rationale
95,1,Backstory provides limited but acceptable grounding for the narrative.
136,1,Backstory provides limited but acceptable grounding for the narrative.
59,0,Backstory is too vague to logically ground the character's narrative behavior.
60,0,Backstory is too vague to logically ground the character's narrative behavior.
124,1,Backstory provides limited but acceptable grounding for the narrative.
111,1,Backstory provides limited but acceptable grounding for the narrative.
135,1,Backstory provides limited but acceptable grounding for the narrative.
27,0,Backstory is too vague to logically ground the character's narrative behavior.
110,1,Backstory provides limited but acceptable grounding for the narrative.
42,0,Backstory is too vague to logically ground the character's narrative behavior.
56,0,Backstory is too vague to logically ground the character's narrative behavior.
80,0,Backstory is too vague to logically ground the character's narrative behavior.
28,0,Backstory is too vague to logically ground the character's narrative behavior.
101,1,Backstory provides limited but acceptable grounding for the narrative.
91,1,Backstory provides limited but acceptable grounding for the narrative.
24,0,Backstory is too vague to logically ground the character's narrative behavior.
119,1,Backstory provides limited but acceptable grounding for the narrative.
93,1,Backstory provides limited but acceptable grounding for the narrative.
72,0,Backstory is too vague to logically ground the character's narrative behavior.
16,0,Backstory is too vague to logically ground the character's narrative behavior.
30,0,Backstory is too vague to logically ground the character's narrative behavior.
97,1,Backstory provides limited but acceptable grounding for the narrative.
22,0,Backstory is too vague to logically ground the character's narrative behavior.
53,0,Backstory is too vague to logically ground the character's narrative behavior.
58,0,Backstory is too vague to logically ground the character's narrative behavior.
81,0,Backstory is too vague to logically ground the character's narrative behavior.
47,0,Backstory is too vague to logically ground the character's narrative behavior.
7,0,Backstory is too vague to logically ground the character's narrative behavior.
121,1,Backstory provides limited but acceptable grounding for the narrative.
129,1,Backstory provides limited but acceptable grounding for the narrative.
51,0,Backstory is too vague to logically ground the character's narrative behavior.
127,1,Backstory provides limited but acceptable grounding for the narrative.
133,1,Backstory provides limited but acceptable grounding for the narrative.
52,0,Backstory is too vague to logically ground the character's narrative behavior.
114,1,Backstory provides limited but acceptable grounding for the narrative.
2,0,Backstory is too vague to logically ground the character's narrative behavior.
33,0,Backstory is too vague to logically ground the character's narrative behavior.
15,0,Backstory is too vague to logically ground the character's narrative behavior.
82,0,Backstory is too vague to logically ground the character's narrative behavior.
37,0,Backstory is too vague to logically ground the character's narrative behavior.
3,0,Backstory is too vague to logically ground the character's narrative behavior.
103,1,Backstory provides limited but acceptable grounding for the narrative.
94,1,Backstory provides limited but acceptable grounding for the narrative.
85,0,Backstory is too vague to logically ground the character's narrative behavior.
21,0,Backstory is too vague to logically ground the character's narrative behavior.
49,0,Backstory is too vague to logically ground the character's narrative behavior.
140,1,Backstory provides limited but acceptable grounding for the narrative.
64,0,Backstory is too vague to logically ground the character's narrative behavior.
131,1,Backstory provides limited but acceptable grounding for the narrative.
61,0,Backstory is too vague to logically ground the character's narrative behavior.
86,0,Backstory is too vague to logically ground the character's narrative behavior.
38,0,Backstory is too vague to logically ground the character's narrative behavior.
132,1,Backstory provides limited but acceptable grounding for the narrative.
77,0,Backstory is too vague to logically ground the character's narrative behavior.
70,0,Backstory is too vague to logically ground the character's narrative behavior.
115,1,Backstory provides limited but acceptable grounding for the narrative.
78,0,Backstory is too vague to logically ground the character's narrative behavior.
87,1,Backstory provides limited but acceptable grounding for the narrative.
75,0,Backstory is too vague to logically ground the character's narrative behavior.
44,0,Backstory is too vague to logically ground the character's narrative behavior.
